,predict data,true data
453,18864.715,19279.9
454,19399.834,18961.856669999997
455,19681.926,17737.11167
456,19378.156,17382.94
457,19236.316,16047.51
458,17891.281,15190.945
459,16206.798,13776.61
460,14780.932,13949.175
461,13771.655,14119.028330000001
462,13261.539,13740.94
463,13217.974,15589.32167
464,13892.988,14380.58167
465,14709.089,14214.01
466,15108.602,13215.573999999999
467,14858.596,14165.575
468,14293.684,13796.0
469,14024.149,15005.85667
470,14215.605,15053.261669999998
471,14588.764,15039.24
472,15502.799,17174.12
473,16311.015,17319.198
474,17275.178,17155.95
475,17568.727,15265.906669999998
476,17596.768,14714.253330000001
477,16504.453,14437.42
478,15588.051,13296.794
479,14261.33,13912.882
480,13289.372,13791.19
481,13189.5625,13852.92
482,13434.811,14012.196000000002
483,13943.979,13554.14
484,14098.165,11116.946670000001
485,13462.274,11345.42333
486,12467.244,11174.82
487,11338.047,12950.79333
488,11252.401,11505.228000000001
489,11432.774,11513.42
490,11705.608,11223.063999999998
491,11909.795,11282.25833
492,11955.129,11392.03
493,11480.993,10969.815
494,11279.793,11524.776670000001
495,11201.05,11431.37
496,11659.474,11212.655
497,11623.157,10184.061670000001
498,11359.233,10082.52
499,10818.953,9083.258333
500,10083.233,8901.901667
501,9332.044,8852.73
502,8690.218,8400.648333
503,8351.328,6838.816667
504,7790.8027,6925.46
505,7187.51,8099.958333
506,6986.136,8240.536667
507,7325.381,8245.08
508,7839.703,8319.876565999999
509,8389.633,8343.455
510,8838.871,8068.02
511,8931.746,8597.7675
512,8506.62,9334.633333
513,8627.846,9471.64
514,9277.167,10127.16167
515,9869.749,10841.99167
516,10532.047,11085.83
517,11143.008,11110.965
518,11498.068,11390.39167
519,11496.13,11245.98
520,11615.243,9931.071667
521,11358.63,10162.11667
522,10728.434,10171.3
523,10300.306,9696.593333
524,9977.507,10348.60333
525,9916.337,10319.46
526,10089.209,10370.165
527,10446.153,11009.38167
528,10930.533,10931.12
529,11079.255,11326.94833
530,11440.154,11430.18167
531,11714.609,11516.83
532,11727.226,10763.19833
533,11747.533,10118.058
534,11250.697,9920.46
535,10585.161,9089.278333
536,9905.085,8746.002
537,9114.655,8777.37
538,8606.574,9182.843333
539,8512.906,9154.7
540,8773.304,9153.54
541,9101.899,8358.121667
542,9140.81,8530.402
543,9051.168,8297.89
544,8718.836,8171.415
545,8381.905,8412.033333
546,8243.709,8605.64
547,8395.906,8947.753333
548,8721.142,8690.408333
549,9040.945,8725.37
550,9060.929,8662.378333
551,9108.199,8617.296667
552,8981.085,8457.96
553,8780.976,7876.195
554,8508.463,7960.38
555,8223.736,7950.61
556,8066.845,6882.531667
557,7657.641,6935.48
558,7237.503,6937.56
559,6919.475,7035.848333
560,6811.465,7410.435
561,6976.2935,7426.48
562,7228.206,6826.51
563,7402.428,6603.876667
564,7362.9795,6634.68
565,6969.039,7017.656667
566,6832.65,6699.273333
567,6762.627,6784.41
568,6783.6084,6926.266667
569,6956.63,7847.845
570,7377.2427,7941.46
571,7771.3467,8036.511051
572,8113.974,8340.748333
573,8430.687,8368.1
574,8749.2705,7895.416926000001
575,8569.069,8164.937426
576,8386.097,8175.96
577,8219.011,8852.718333
578,8504.612,8807.205
579,8752.452,8930.6
580,9021.985,8933.861667000001
581,9288.59,9555.542
582,9557.232,9658.11
583,9658.47,9258.398333
