,predict data,true data
249,2361.2424,2279.82
250,2384.0798,2192.9808
251,2348.5918,2275.9307
252,2287.23,2290.02
253,2275.4788,2285.933914
254,2310.021,2399.242671
255,2355.0874,2409.93
256,2441.6936,2525.7651579999997
257,2500.8713,2516.173143
258,2580.3955,2529.53
259,2601.2424,2883.313697
260,2722.9736,2664.920863
261,2796.6807,2683.03
262,2809.9072,2827.4913
263,2853.9602,2845.372857
264,2876.8015,2898.63
265,2932.815,2657.6750629999997
266,2890.2646,2748.185086
267,2825.8132,2706.0
268,2826.864,2442.48025
269,2685.9072,2464.9598140000003
270,2548.8108,2477.94
271,2466.5073,2507.389252
272,2441.0754,2617.210263
273,2500.9163,2600.0
274,2570.6614,2671.04325
275,2674.668,2727.288013
276,2777.472,2713.48
277,2795.6853,2589.164888
278,2779.318,2512.366286
279,2703.0745,2502.03
280,2609.385,2517.903114
281,2550.2917,2585.349186
282,2528.4456,2558.3
283,2551.3462,2477.641375
284,2571.2856,2501.191343
285,2580.8245,2421.26
286,2545.8188,2561.225429
287,2531.2346,2599.7298379999997
288,2559.8052,2598.89
289,2610.2646,2609.96775
290,2671.0693,2491.201214
291,2672.755,2502.86
292,2624.696,2536.238938
293,2590.0234,2366.170143
294,2504.4343,2327.09
295,2434.223,2385.748571
296,2385.4482,2354.783417
297,2362.79,2338.49
298,2361.571,2058.9956
299,2282.098,1931.2143
300,2140.5652,1910.96
301,1992.2649,2320.12225
302,1983.3395,2264.7657
303,2080.3826,2265.21
304,2224.5042,2682.195363
305,2464.6316,2807.609857
306,2747.962,2825.51
307,2882.4585,2751.8210289999997
308,2882.1953,2560.997917
309,2786.3796,2564.3
310,2798.151,2647.625
311,2668.4631,2781.636583
312,2619.381,2784.8
313,2721.5005,2745.955417
314,2806.2454,2866.4316670000003
315,2898.1758,2862.9
316,2960.3303,2693.6339829999997
317,2906.0906,2794.117717
318,2856.8044,2790.0
319,2832.92,3218.115017
320,2953.9119,3252.562533
321,3137.6558,3210.2
322,3284.2732,3457.3743329999998
323,3466.2517,3357.326317
324,3557.4883,3340.28
325,3502.556,3632.506667
326,3545.9814,3852.802914
327,3629.6575,3868.52
328,3876.4507,4282.992
329,4108.567,4217.028329
330,4272.148,4179.97
331,4435.7056,4328.725717
332,4433.7,4130.440067
333,4349.0044,4104.71
334,4307.4087,4157.958033
335,4251.8003,4043.722
336,4151.634,3986.28
337,4125.741,4174.95
338,4117.5635,4340.316717000001
339,4201.1733,4331.77
340,4354.117,4360.513317
341,4451.962,4354.308333
342,4513.4688,4339.05
343,4540.832,4607.98545
344,4567.426,4594.98785
345,4605.806,4582.52
346,4686.805,4911.740017
347,4837.0615,4580.387479999999
348,4882.4893,4585.57
349,4851.377,4344.098317
350,4705.674,4488.720139999999
351,4557.3765,4385.02
352,4482.808,4654.6585
353,4491.739,4310.750183
354,4482.995,4312.26
355,4496.986,4329.955
356,4447.638,4248.090017
357,4396.05,4198.59
358,4299.71,3961.271267
359,4195.582,3319.63
360,3889.872,3216.43
361,3525.781,3763.6260399999996
362,3335.2996,3746.060783
363,3357.0688,3678.53
364,3502.373,3943.413333
365,3750.8206,3977.5616670000004
366,4018.264,3894.48
367,4174.8716,3637.50255
368,4003.444,3776.3869
369,3839.0493,3777.62
370,3853.354,3942.555
371,3858.7568,3910.307383
372,3889.1409,3881.0
373,3976.7556,4201.98905
374,4117.945,4193.574667
375,4254.001,4164.27
376,4283.742,4360.722967000001
377,4384.508,4386.88375
378,4452.1826,4394.07
379,4534.9233,4225.175
380,4496.535,4338.852
381,4427.545,4318.58
382,4438.8833,4376.191667
383,4426.154,4602.280882999999
384,4481.5337,4605.66
385,4619.5024,4782.28
386,4778.53,4819.485767
387,4924.864,4822.17
388,4972.3657,5563.8065670000005
389,5212.9966,5739.438733
390,5515.3394,5825.99
391,5812.09,5711.205867000001
392,6034.9116,5603.712939999999
393,6015.761,5594.66
394,5935.132,5727.6335
395,5805.6514,5979.4598399999995
396,5756.6616,5986.44
397,5966.444,5983.18455
398,6112.0283,5876.079867
399,6186.1113,5900.59
400,6161.5303,5669.622533
401,6025.1685,5893.138417
402,5922.4,5889.82
403,5900.3726,5776.69695
404,5921.6416,6155.434020000001
405,6027.121,6136.49
406,6177.5,6388.645167000001
